it | SPACE 
can | SPACE 
be | SPACE 
a | SPACE 
very | SPACE 
complicated | SPACE 
thing | SPACE 
the | SPACE 
ocean | SPACE 
and | SPACE 
it | SPACE 
can | SPACE 
be | SPACE 
a | SPACE 
very | SPACE 
complicated | SPACE 
thing | SPACE 
what | SPACE 
human | SPACE 
health | SPACE 
is | SPACE 
and | SPACE 
those | SPACE 
simple | SPACE 
themes | SPACE 
aren | SPACE 
' | SPACE 
t | SPACE 
really | SPACE 
themes | SPACE 
about | SPACE 
the | SPACE 
complex | SPACE 
science | SPACE 
of | SPACE 
what | SPACE 
' | SPACE 
s | SPACE 
going | SPACE 
on | SPACE 
but | SPACE 
things | SPACE 
that | SPACE 
we | SPACE 
all | SPACE 
pretty | SPACE 
well | SPACE 
know | SPACE 
and | SPACE 
i | SPACE 
' | SPACE 
m | SPACE 
going | SPACE 
to | SPACE 
start | SPACE 
with | SPACE 
this | SPACE 
one | SPACE 
if | SPACE 
momma | SPACE 
ain | SPACE 
' | SPACE 
t | SPACE 
happy | SPACE 
ain | SPACE 
' | SPACE 
t | SPACE 
nobody | SPACE 
happy | SPACE 
we | SPACE 
know | SPACE 
that | SPACE 
right | SPACE 
we | SPACE 
' | SPACE 
ve | SPACE 
experienced | SPACE 
that | SPACE 
and | SPACE 
if | SPACE 
we | SPACE 
just | SPACE 
take | SPACE 
that | SPACE 
and | SPACE 
we | SPACE 
build | SPACE 
from | SPACE 
there | SPACE 
then | SPACE 
we | SPACE 
can | SPACE 
go | SPACE 
to | SPACE 
the | SPACE 
next | SPACE 
step | SPACE 
which | SPACE 
is | SPACE 
that | SPACE 
if | SPACE 
the | SPACE 
ocean | SPACE 
ain | SPACE 
' | SPACE 
t | SPACE 
happy | SPACE 
ain | SPACE 
' | SPACE 
t | SPACE 
nobody | SPACE 
happy | SPACE 
that | SPACE 
' | SPACE 
s | SPACE 
the | SPACE 
theme | SPACE 
of | SPACE 
my | SPACE 
talk | SPACE 
and | SPACE 
we | SPACE 
' | SPACE 
re | SPACE 
making | SPACE 
the | SPACE 
ocean | SPACE 
pretty | SPACE 
unhappy | SPACE 
in | SPACE 
a | SPACE 
lot | SPACE 
of | SPACE 
different | SPACE 
ways | SPACE 
this | SPACE 
is | SPACE 
a | SPACE 
shot | SPACE 
of | SPACE 
can | SPACE 
##nery | SPACE 
row | SPACE 
in | SPACE 
1932 | SPACE 
can | SPACE 
##nery | SPACE 
row | SPACE 
at | SPACE 
the | SPACE 
time | SPACE 
had | SPACE 
the | SPACE 
biggest | SPACE 
industrial | SPACE 
canning | SPACE 
operation | SPACE 
on | SPACE 
the | SPACE 
west | SPACE 
coast | SPACE 
we | SPACE 
piled | SPACE 
enormous | SPACE 
amounts | SPACE 
of | SPACE 
pollution | SPACE 
into | SPACE 
the | SPACE 
air | SPACE 
and | SPACE 
into | SPACE 
the | SPACE 
water | SPACE 
